,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
150063,23029,be,,,hyundai,hyundai,,,fdh,f5p31,a41az1,hyundai motor (cz),"i30, i30 cw",m1,,2.0,1435.0,,165.0,,2700.0,1552.0,1552.0,petrol,m,1591.0,,,,,,,,f,2010,,,
257853,103780,fr,,,seat,seat,seat sa,,,6jscnbmsx0sgfm52r02427gg,,seat,ibiza,m1,,43.0,1150.0,,114.0,,2469.0,1463.0,1457.0,diesel,m,1422.0,,,,,,,,f,2010,,,
72350,8999,at,,,renault,renault,renault,,z,kz1g,kz1g06,renault,megane,m1,,32.0,1432.0,,114.0,,2703.0,1546.0,1547.0,diesel,m,1461.0,,,,,,,,f,2010,,,
209508,217773,sk,,,audi ag,audi,,,b8,ccdnbf1,,audi,a5,m1,,1.0,1535.0,,167.0,,,,,petrol,m,1984.0,,,,,,,,f,2010,,,
97037,149560,lt,,,toyota motor europe,toyota motor europe,,,ar2,zgr20(wc),zgr20l-gwfdpw(1c),toyota,verso,m1,,3.0,1540.0,,158.0,,2780.0,1540.0,,,m,,,,,,,,,f,2010,,,
29503,190619,pl,,,opel,adam opel gmbh,,,0g-a,dm11,1a02c2aehjm5,opel,insignia hatchback,m1,,17.0,1613.0,,162.0,,2737.0,1587.0,,diesel,m,1956.0,,,,,,,,f,2010,,,
65529,246038,gb,,,fiat group automobiles spa,fiat group automobiles spa,alfa romeo,,,axf1b,05,alfa romeo,mito veloce,m1,,2.0,1155.0,,138.0,,,,,petrol,m,1368.0,,,,,,,,f,2010,,,
166457,115824,gr,,,renault,renault,renault,,z,dz1v,dz1v06,renault,megane,m1,,3.0,1270.0,,147.0,,2640.0,1546.0,1547.0,petrol,m,1397.0,,,,,,,,f,2010,,,
145230,29930,be,,,volkswagen,volkswagen,,,7hc,280gcchax0,g0vr0nnnfd7bt01,volkswagen,transport,m1,,14.0,1976.0,,211.0,,3000.0,,,diesel,m,1968.0,,,,,,,,f,2010,,,
206548,217313,si,,,volkswagen,volkswagen,,,aacdaax0-fd7fd7am006st7mgvr04,aacdaax0-fd7fd7am006st7mgvr04,aacdaax0-fd7fd7am006st7mgvr04,volkswagen,passat cc - 1.8 - tsi aut.,m1,,1.0,1512.0,,169.0,,2708.0,1556.0,1562.0,petrol,m,1798.0,,,,,,,,f,2010,,,
116006,150551,lu,,,automobiles citroen,automobiles citroen,,,s,c9hp,4-1,citroen,c3,m1,,1.0,1155.0,,99.0,,,,,diesel,m,1560.0,,,,,,,,f,2010,,,
16873,270569,gb,,,renault,renault,renault,,kw,kw0b,kw0bb5,renault,kangoo,m1,,1.0,1487.0,,140.0,,2697.0,1521.0,1533.0,diesel,m,1461.0,,,,,,,,f,2010,,,
152744,124770,hu,,,nissan international sa,nissan international sa,,,j10,d,d03,nissan,qashqai+2,m1,,1.0,1660.0,,159.0,,2630.0,1545.0,1552.0,diesel,m,1995.0,,,,,,,,f,2010,,,
81628,42099,de,,,audi ag,audi,audi,,8e,aaukf1,favjn0r8e710gg,audi,audi a4,m1,,1.0,1625.0,,229.0,,2655.0,1525.0,1530.0,petrol,m,3123.0,,,,,,,,f,2010,,,
27104,193220,pl,,,skoda,skoda,,,1z,aacbzbx01,nfm6fm6aj008,skoda,octavia,m1,,2.0,1265.0,,134.0,,2500.0,1506.0,,petrol,m,1197.0,,,,,,,,f,2010,,,
241032,55206,de,,,opel,adam opel gmbh,opel,,s-d,fp11,1aaca5k0acg5,opel,corsa,m1,,47.0,1199.0,,129.0,,2511.0,1485.0,1478.0,petrol,m,1398.0,,,,,,,,f,2010,,,
104420,147648,it,,,volkswagen,volkswagen,vw 13 adcavd fd7fd7am0067mgvr0s1,,,,,volkswagen,scirocco,m1,,7.0,1360.0,,147.0,,2575.0,,,petrol,m,1390.0,,,,,,,,f,2010,,,
157255,131782,ie,,,kia,kia,,,sportage,2.0 gse 5dr,2.0 gse 5dr,kia,kia,m1,,1.0,1696.0,,194.0,,2630.0,3000.0,,petrol,m,,,,,,,,,f,2010,,,
221513,197279,pl,,,volkswagen,volkswagen,,,6r,abcgpa,fm5fm52t111llnvr07mg,volkswagen,polo,m1,,3.0,1067.0,,128.0,,2456.0,1456.0,,petrol,m,1198.0,,,,,,,,f,2010,,,
275965,93530,fi,,,skoda,skoda,,,1z,aacaycx01,gfm5fm5a4051,skoda,octavia,m1,,4.0,1355.0,,114.0,,2575.0,1535.0,1508.0,diesel,m,1598.0,,,,,,,,f,2010,,,
196784,185144,pl,,ford pool,ford-werke gmbh,ford-werke gmbh,,,wa6,a0wb1m,7bgaqe,ford,galaxy,m1,,1.0,1697.0,,189.0,,,2850.0,,petrol,m,1999.0,,,,,,,,f,2010,,,
186598,143446,it,,,opel,adam opel gmbh,adam opel gmbh s-d fd11 2a07b1pdbe5,,,,,opel,corsa,m1,,4.0,1205.0,,124.0,,2511.0,,,diesel,m,1248.0,,,,,,,,f,2010,,,
171186,112636,gr,,honda,honda motor co,honda,,,gg3,2,2,honda,jazz,m1,,11.0,1155.0,,125.0,,2495.0,1495.0,1475.0,petrol,m,1339.0,,,,,,,,f,2010,,,
264608,87010,es,,,renault,renault,renault,,k,jk00,,renault,grand espace 3.5,m1,,1.0,1965.0,,289.0,,2868.0,1574.0,1556.0,petrol,,3498.0,,,,,,,,f,2010,,,
231638,80371,es,,bmw,bmw m gmbh,bmw m gmbh,,,187,ub71,,bmw,116i,m1,,14.0,1330.0,,139.0,,2660.0,1484.0,1497.0,petrol,,1599.0,,,,,,,,f,2010,,,
50879,228887,gb,,,audi ag,audi,audi,,8j,rbwaf1,fm62q019r8j600gg,audi,tt tfsi,m1,,7.0,1370.0,,186.0,,2464.0,1566.0,1560.0,petrol,m,1984.0,,,,,,,,f,2010,,,
156903,131430,ie,,honda,honda motor co,honda motor co,,,accord est,tourer 2.2 i-dtec type-s 5dr,tourer 2.2 i-dtec type-s 5dr,honda,honda,m1,,5.0,1629.0,,157.0,,2705.0,3000.0,,diesel,m,,,,,,,,,f,2010,,,
73560,14588,be,,,automobiles citroen,automobiles citroen,,,a*****,ajkfv*,ajkfvc,citroen,nemo,m1,,25.0,1280.0,,155.0,,2513.0,1467.0,1464.0,petrol,m,1360.0,,,,,,,,f,2010,,,
237860,14331,be,,,audi ag,audi,,,8p,acdaaf1,fm62s002r8p607mgem0,audi,audi a3,m1,,2.0,1355.0,,152.0,,2578.0,1522.0,1515.0,petrol,m,1798.0,,,,,,,,f,2010,,,
268238,90917,fi,,,automobiles peugeot,automobiles peugeot,,,v*****,vv4hk*,vv4hk8-p,peugeot,4007,m1,,1.0,1845.0,,189.0,,2672.0,1540.0,1540.0,diesel,m,2179.0,,,,,,,,f,2010,,,
310290,58358,de,,daimler ag,daimler ag,daimler ag stuttgart,daimler (d),e1*2007-46,639-2,laa33305n,2a2g2u28,mercedes-benz,viano,m1,,19.0,2355.0,,232.0,,3200.0,1630.0,1630.0,diesel,m,2143.0,120.0,,,,,,,f,2011,,,
163214,151410,it,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*0414*01,8x,acaxaf1,fd7am014r8x52ll7mgem2,audi,audi a1,m1,,424.0,1200.0,,122.0,,2457.0,1462.0,,petrol,m,1390.0,90.0,,,,,,,f,2011,,,
233588,145962,ie,,,unknown,ford-werke gmbh,,,grand c max,1.6 tdci zetec 115bhp  5dr,1.6 tdci zetec 115bhp  5dr,ford,ford,m1,,1.0,300.0,,129.0,,,500.0,,diesel,m,,,,,,,,,f,2011,,,
292421,96154,gr,,toyota-daihatsu group,daihatsu,daihatsu motor co ltd,,e13*2001-116*0179*07,j2,j210l(r)g,gqdfw,daihatsu,terios,m1,,2.0,1280.0,,178.0,,2580.0,,,petrol,m,,,,,,,,,f,2011,,,
